[2021-05-21 18:58:00.110419 +09:00] KRW-LBC, last: 246, min: 232
[2021-05-21 18:58:01.067803 +09:00] KRW-LBC, last: 246, min: 232
[2021-05-21 18:58:02.092852 +09:00] KRW-LBC, last: 245, min: 232
[2021-05-21 18:58:04.075166 +09:00] KRW-LBC, last: 246, min: 233
[2021-05-21 18:58:05.064530 +09:00] KRW-LBC, last: 246, min: 233
[2021-05-21 18:58:07.061875 +09:00] KRW-LBC, last: 245, min: 232
[2021-05-21 18:58:12.122993 +09:00] KRW-LBC, last: 245, min: 232
[2021-05-21 18:58:14.280264 +09:00] KRW-TSHP, last: 20.6, min: 19.5
[2021-05-21 18:58:17.085447 +09:00] KRW-TSHP, last: 20.6, min: 19.5
[2021-05-21 18:58:18.048925 +09:00] KRW-TSHP, last: 20.6, min: 19.5
[2021-05-21 19:00:16.082232 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:17.080405 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:18.091707 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:19.080080 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:20.110647 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:21.091930 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:24.137164 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:25.077082 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:26.104332 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:27.248648 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:28.082508 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:29.104106 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:30.082043 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:31.081049 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:34.086402 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:35.084519 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:36.238796 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:37.077789 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:39.119664 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:00:40.083768 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:00:41.089783 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:42.121905 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:44.141470 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:45.083229 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:46.060009 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:47.141925 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:48.057241 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:49.066848 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:50.072193 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:51.064470 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:52.088679 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:53.079354 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:00:54.122399 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:55.079971 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:00:56.098888 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:57.103758 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:00:58.060760 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:00:59.102753 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:01:00.093477 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:01:01.075146 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:01:03.085995 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:01:05.117088 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:01:08.068729 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:01:09.091373 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:01:10.079940 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:01:11.230907 +09:00] KRW-TSHP, last: 20.9, min: 19.8
[2021-05-21 19:01:12.137303 +09:00] KRW-TSHP, last: 20.9, min: 19.8
[2021-05-21 19:01:13.080266 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:01:14.103718 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:01:15.061504 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:01:16.113081 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:01:17.096975 +09:00] KRW-TSHP, last: 20.9, min: 19.7
